,AwardID,AwardType,LegalBusinessName,ContractingAgency,DateSigned,ActionObligation,ReferencedIDV,ContractingOffice,NAICS_Code,PSC_Code,EntityCity,UniqueEntityID_DUNS,EntityState,UniqueEntityID_SAM,Zip,UltimateParentUniqueEntityID_DUNS,UltimateParentLegalBusinessName,UltimateParentUniqueEntityID_SAM,CAGE_Code
0,,BPA CALL,CACI INC FEDERAL,FEDERAL RAILROAD ADMINISTRATION,"August 18, 2020", -$69.31,DTFR5313A00006,693JJ6 FEDERAL RAILROAD ADMIN,541611,R410,CHANTILLY,114896066,VA,N3PBJAVNKF61,201512218,045534641,CACI  INC. - FEDERAL,QSRTXLFKV857,1QU78
1,,DELIVERY ORDER,LOGISTICS MANAGEMENT INSTITUTE,DEPARTMENTAL OFFICES,"November 13, 2019", -$193.84,GS23F9737H,IBC ACQ SVCS DIRECTORATE (00004),,D399,MC LEAN,053385738,VA,XV6BLPWT44H7,22102,053385738,LOGISTICS MANAGEMENT INSTITUTE,XV6BLPWT44H7,2D675
2,,DELIVERY ORDER,NORTHROP GRUMMAN INFORMATION TECHNOLOGY GLOBAL CORPORATION,DEPARTMENTAL OFFICES,"February 20, 2020", $0,GS35F4506G,IBC ACQ SVCS DIRECTORATE (00004),541511,D399,MC LEAN,064680213,VA,S7J5DT96SCV3,221027508,967356127,Northrop Grumman Corporation,NKVZLJL93QT6,1VZG8
3,,DELIVERY ORDER,INTERNATIONAL COMPUTING SYSTEM,DEPARTMENTAL OFFICES,"June 29, 2020", $0,0403CT74084,IBC ACQ SVCS DIRECTORATE (00004),541511,7010,FAIRFAX,957702863,VA,KEQKCNXGM2B9,220321139,957702863,INTERNATIONAL COMPUTING SYSTEMS  INCORPORATED,KEQKCNXGM2B9,1HRW7
4,,DELIVERY ORDER,INTERNATIONAL COMPUTING SYSTEM,DEPARTMENTAL OFFICES,"August 19, 2020", $0,0403CT74084,IBC ACQ SVCS DIRECTORATE (00004),541511,7010,FAIRFAX,957702863,VA,KEQKCNXGM2B9,220321139,957702863,INTERNATIONAL COMPUTING SYSTEMS  INCORPORATED,KEQKCNXGM2B9,1HRW7
5,,DELIVERY ORDER,"LGC GLOBAL, INC.",DEPT OF THE AIR FORCE,"March 06, 2020"," $7,609,933.54",FA462117D0001,FA4621  22 CONS PK,236220,Z2QA,DETROIT,142545099,MI,GLYHYLKBFJX5,482023165,142545099,"LAKESHORE TECH, INC.",GLYHYLKBFJX5,3QMU7
6,,BPA CALL,"GREENZONE SOLUTIONS, INC.",BUREAU OF THE FISCAL SERVICE,"February 07, 2020", $0,TFSACFPBPA16019,ARC DIV PROC SVCS - CFPB,541519,D399,ARLINGTON,052128984,VA,VBPEVB3MVNQ9,222013866,052128984,SHAH GROUP  INC   THE,VBPEVB3MVNQ9,6F6T0
7,,DELIVERY ORDER,"MACAULAY-BROWN, INC.",DEPT OF THE AIR FORCE,"October 16, 2020"," -$5,000",FA877316D8301,FA8773  ACC AMIC DET2 OL-C TINKER,541990,R425,DAYTON,096500483,OH,Z6USGD96KM25,454301062,096500483,MACAULAY-BROWN  INC.,Z6USGD96KM25,4R389
8,,DELIVERY ORDER,AAI CORPORATION,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),"March 31, 2020"," -$4,026.1",H9222216D0032,HQ USSOCOM,541330,L015,HUNT VALLEY,003090198,MD,SNJ8YY61GB95,210303342,001338979,TEXTRON INC.,HKUMGJBEMKN3,97384
9,,DELIVERY ORDER,"KFORCE GOVERNMENT SOLUTIONS, INC.",DEFENSE THREAT REDUCTION AGENCY (DTRA),"March 18, 2020", $0,HDTRA115D0004,DEFENSE THREAT REDUCTION AGENCY,541219,R408,FAIRFAX,072650484,VA,LPANPM31AFZ1,220314312,053518312,KFORCE GOVERNMENT SOLUTIONS  INC.,MLA8BNWPUXD1,6D342
